gene,label
EIF3A,E
POLR1A,E
TPX2,E
DDX21,E
ORC1,E
CDC5L,E
SUPT6H,E
DHX8,E
SMARCC2,NE
U2AF2,E
CUL4A,NE
UPF1,E
CENPA,E
DTYMK,E
RBX1,E
CARS1,E
ZC3H4,E
MCM3,E
UPF2,E
XAB2,E
SART1,E
EIF3CL,E
BMS1,E
RFC2,E
SNRPD3,E
TBPL2,NE
LRRC47,NE
RUVBL1,E
POLA1,E
EIF2S2,E
GNL3L,E
DDX54,E
NOP10,E
HNRNPU,E
MCM6,E
POLR3A,E
PCID2,E
KPNA1,NE
SNRPD1,E
XRCC6,E
RBM25,E
PRPF31,E
NUP155,E
FBL,E
TCEA3,NE
EIF4A3,E
KPNA3,NE
DDX46,E
MYBBP1A,E
PCNA,E
DIS3,E
DDX17,NE
EEF2,E
MCM5,E
CDC16,E
SETX,NE
EXOSC10,E
AARS1,E
EXOSC7,E
MCM2,E
POLE2,E
NCAPH,E
DDX10,E
PSMA6,E
NELFB,E
H2AZ2,NE
WDR33,E
POLR2D,E
RRP1B,NE
DDX31,NE
SMARCA1,NE
SRSF2,E
RBM15,NE
DKC1,E
IGHMBP2,NE
RPL15,E
RPA2,E
PSMD3,E
DHX15,E
PDCD11,E
CNOT1,E
GTF3C1,E
HNRNPDL,NE
SF1,E
MYBL1,NE
GTPBP4,E
CAD,E
NAT10,E
ALYREF,E
RRM1,E
CDT1,E
POLE,E
CDC73,E
KPNA7,NE
HNRNPUL1,NE
XPO1,E
HELZ2,NE
POLR2B,E
PRPF8,E
ASF1A,NE
EFTUD2,E
LIG1,E
SF3B2,E
BANF1,E
RPA1,E
NOP58,E
PRPF4,E
PSMA7,E
GMPS,E
SSU72,E
MARS1,E
U2AF1,E
INO80,E
DDX51,E
GINS1,E
SMC3,E
POLR2C,E
TENT4A,NE
CCT3,E
SFPQ,E
SNRNP200,E
THOC5,E
PSMB1,E
MSI1,NE
SRSF9,NE
AATF,E
SUPT5H,E
PRPF6,E
RGPD3,NE
RPS5,E
GRPEL1,E
TAF1,E
RBBP5,E
CCNH,E
EIF4H,NE
RRM2,E
HNRNPL,E
SRSF6,NE
CAPRIN1,NE
PES1,E
RPL24,E
WDR12,E
DNAJA4,NE
KARS1,E
SARS1,E
SDAD1,E
ACTL6A,E
POLR2A,E
SRSF3,E
SRCAP,E
CLSPN,E
NUP214,E
SUMO3,NE
POLR2F,E
SAE1,E
KPNB1,E
SMC1A,E
NIP7,E
PHF5A,E
DDX56,E
SRSF1,E
MLLT1,NE
NSA2,E
RPL10,E
UBE2B,NE
HEATR1,E
AFG2B,E
SUMO1,NE
EBNA1BP2,E
DHX30,E
NVL,E
DHX16,E
NEDD8,E
PHF6,NE
PDS5B,NE
RANGAP1,E
CHD1L,NE
KIN,E
EIF2B3,E
CSE1L,E
ELP1,E
CHAF1A,E
DIMT1,E
LARS1,E
CCT4,E
PSMC2,E
PSMA3,E
ZNF44,NE
DYNC1H1,E
GTF2B,E
RFC4,E
CKS2,NE
H2BC15,NE
MED23,E
ELAVL1,NE
GRWD1,E
HAT1,NE
RARS1,E
EEF1D,NE
TNKS2,NE
PIAS4,NE
FOXK1,NE
ZBTB11,E
TIMELESS,E
TUBGCP2,E
VEZF1,NE
IARS1,E
MCM3AP,E
HNRNPC,E
RPS9,E
NUDC,E
SMARCB1,E
RGPD1,NE
POLR2K,NE
CHRAC1,NE
NUP160,E
AIMP2,NE
EIF3D,E
MLLT3,NE
SRRT,E
BIRC5,E
RPS19,E
TYMS,E
DNAJC21,NE
TARS1,E
KIF11,E
SRSF4,NE
RPL6,E
DDX5,NE
LSM3,E
EIF5,E
RGPD4,NE
RAE1,E
BUB3,E
RPS8,E
CEBPZ,E
BRIX1,E
DHX9,E
SMC4,E
H3-3A,NE
SIN3B,NE
DHX34,NE
KPNA5,NE
TBPL1,NE
EPRS1,E
SRBD1,E
E2F2,NE
CDC20,E
HELLS,NE
UBE2O,NE
TIA1,NE
LMNB1,NE
MPHOSPH8,NE
ANAPC5,E
PSMC6,E
DHX38,E
RPS15,E
DDX20,E
DDX24,E
MYSM1,NE
PSMB2,E
PSMD14,E
E2F1,NE
RBM34,NE
WRAP53,NE
IGF2BP1,NE
PSMB7,E
H2BC11,NE
RPL38,E
BAZ1B,NE
NOB1,E
RNF2,NE
RPL4,E
DHFR,E
POLR1F,E
CCNL1,NE
TRRAP,E
PWP2,E
GTF3A,E
CTCFL,NE
GSPT1,E
TSR1,E
CDC45,E
COIL,NE
MOV10,NE
CDK7,E
EIF4G1,E
IARS2,E
TRIM24,NE
LONP2,NE
RPL10L,NE
SNIP1,E
CKAP5,E
EIF2B1,E
UBE2R2,NE
POLR3B,E
SRSF5,NE
RPL35,E
SMARCA2,NE
MRPL12,E
ATAD3A,NE
TERF2,E
DDB1,E
RPL14,E
MRPS5,E
TNPO3,E
RPS7,E
CCNB2,NE
RFC5,E
RBM19,E
POLR1C,E
AHCY,E
PHIP,NE
ADNP,NE
SMG1,E
MAGOH,E
RBM39,E
TCP1,E
NOP2,E
ACTR3B,NE
DSTN,NE
SRSF7,E
NAA10,E
DDX50,NE
KIF17,NE
CLK2,NE
NOL9,E
PRPF40B,NE
SF3A1,E
SMC1B,NE
CDK9,E
NPM3,NE
HMGB2,NE
ANAPC2,E
PLK3,NE
SNRPN,NE
PPP2R1A,E
NAP1L4,NE
RPS2,E
SET,NE
WDR74,E
NUP85,E
PRMT5,E
GLE1,E
CBX3,NE
RPL37A,E
PSAT1,NE
BRWD1,NE
TFDP1,NE
MNAT1,E
SMARCAD1,NE
PSPC1,NE
ERCC2,E
CSNK1D,NE
SAMM50,E
EIF4G3,NE
CCNT2,NE
SART3,E
PGK1,E
ORC3,E
PAK1IP1,E
POLR2H,E
ORC6,E
AGO4,NE
CDK15,NE
RPS3,E
CDC37,E
PNN,E
RAD51,E
ATXN7,NE
PBRM1,NE
CBX1,NE
RBBP7,NE
NUP98,E
TOP1,E
NCBP1,E
WRNIP1,NE
FARSB,E
EIF2S1,E
RACGAP1,E
CCT6A,E
PSMA2,E
RAN,E
RBL1,NE
NGDN,E
SMG5,E
GEMIN5,E
SF3A2,E
CIRBP,NE
H3-3B,NE
GART,E
LATS2,NE
DDX23,E
HSPBP1,NE
CCT6B,NE
RBBP4,E
SNRPD2,E
UCK2,NE
PSMC4,E
DAZAP1,NE
FARSA,E
MAU2,E
NME2,NE
PWP1,E
NUP188,E
POLR1E,E
FBH1,NE
TAF7L,NE
CHD4,E
WARS1,E
PABPC1,E
TMPO,NE
CCT8,E
MCM7,E
PSMC3,E
DDX18,E
RPS23,E
PSMD1,E
GTF2E1,E
TOMM40,E
SARS2,E
PSMC1,E
MORF4L2,NE
LARP7,NE
RWDD4,NE
HNRNPUL2,NE
COPS4,E
ARCN1,E
PSMA1,E
CDC6,E
ARPC5L,NE
RPL10A,E
NCBP2,E
PSMA5,E
CENPI,E
BAZ1A,NE
ERCC3,E
SMC2,E
EXOSC8,E
POTEF,NE
DEK,NE
SENP7,NE
UBE2C,NE
NCAPD2,E
ADSL,E
UQCRC1,E
PRPF19,E
IFT88,NE
RFC3,E
H2BC4,NE
CBX2,NE
IMP4,E
CDC23,E
H2BC5,NE
YARS1,E
LIG4,NE
EXOSC4,E
RPL3,E
NCOR1,NE
MED17,E
H3-4,NE
RRP9,E
SRP54,E
IGF2BP3,NE
VARS1,E
TP53RK,E
CSNK2A2,NE
CUL4B,NE
RPL27A,E
RALY,NE
PSMC5,E
RAD21,E
HSPA14,E
EIF2B4,E
BRD3,NE
AIMP1,NE
RPL19,E
MDN1,E
RBMX,E
CACYBP,NE
PPP2CA,E
LUC7L,NE
SMNDC1,E
DDX4,NE
TAF6,E
DNAJA3,E
ACTR1B,NE
RPSA,E
WDR3,E
TSNAX,NE
AHCTF1,E
POLDIP3,NE
NARS1,E
PABPN1,E
ATAD2,NE
DYNLL1,NE
CDK20,NE
TIMM44,E
KIF5B,NE
IMP3,E
TP53INP1,NE
KAT6B,NE
SMS,NE
HNRNPK,E
BRAP,NE
RPS27A,E
UBE2A,NE
RPS21,E
RPL27,E
POLR2L,E
NWD1,NE
ACTL8,NE
ANP32A,NE
PSMD2,E
HNRNPR,NE
ZFAND4,NE
RAD51C,E
YBX3,NE
AFG2A,E
RRM2B,NE
TRAP1,NE
THOC2,E
IQGAP1,NE
MTOR,E
KATNA1,NE
LRSAM1,NE
RPS25,E
CDC34,NE
USP39,E
HMGB3,NE
H3-5,NE
TUBB,E
BUB1B,E
RPS6,E
POLR1B,E
PHF21B,NE
POLR3H,E
RPL26L1,NE
HSPA4,NE
RPL3L,NE
TAF1L,NE
ASF1B,NE
CCAR2,NE
RPL30,E
UBR1,NE
TAF4B,NE
EIF5B,E
NSUN2,NE
RNGTT,E
RPS10,E
NOL10,E
TRIP12,NE
APAF1,NE
NAA15,E
POLA2,E
LEMD3,NE
CCDC124,NE
DARS1,E
NUP133,E
PAPOLA,NE
ACTG1,NE
MAPK6,NE
NUP93,E
STAG3,NE
NPAT,E
TOP2A,E
RPL36,E
CDC20B,NE
BOLL,NE
PRIM1,E
KIF3B,NE
H2AC11,NE
POLR2I,E
PSMD12,E
FOXK2,NE
RPL5,E
DIS3L,NE
RPL13,E
HSPD1,E
GPN3,E
ARPC1A,NE
BRCA1,E
RECQL5,NE
MRPL23,E
ASPM,NE
TAF6L,E
UBA1,E
POLD2,E
SSRP1,E
SUB1,NE
DDX19B,NE
ARID4A,NE
MAGOHB,NE
RPS16,E
PRMT2,NE
DAP3,E
FEN1,E
KDM1B,NE
TCF20,NE
MKKS,NE
ACTA1,NE
CHFR,NE
NEMF,NE
CHD3,NE
PSMD6,E
PAFAH1B1,E
CTPS1,E
ESCO1,NE
FOXM1,NE
AGO1,NE
COPS5,E
YWHAQ,NE
TDRD12,NE
H2AC20,NE
DIS3L2,NE
ELAC2,E
E2F5,NE
LMNA,NE
CDK17,NE
TSPYL5,NE
RPL23,E
WDR77,E
RIOK2,E
CCNL2,NE
RCC1,E
WRN,NE
PLK1,E
DGCR8,E
PSMD11,E
CSTF1,E
SYNCRIP,NE
RPL26,E
ATR,E
TRNAU1AP,E
LSM14A,NE
KDM6A,NE
RPS3A,E
SAP30,NE
ACTG2,NE
POTEJ,NE
PPP4R2,NE
TRUB1,NE
MOV10L1,NE
ITPA,NE
TCF25,NE
RBM27,NE
GUK1,E
NKRF,NE
PPP4C,E
AXIN1,NE
RPS27L,NE
CENPB,NE
USP28,NE
TAF9B,NE
KHDRBS1,NE
MAPRE1,NE
DMC1,NE
RPN1,E
RPL13A,E
CDC40,E
PSMB5,E
TUBB3,NE
ENO1,E
MRRF,NE
KHSRP,NE
UTP6,E
SEC31A,NE
PPP1R12C,NE
UBXN7,NE
FXR1,NE
RPS13,E
SEH1L,E
NHP2,E
CPSF7,NE
USP20,NE
TP53BP1,NE
RANBP6,NE
TNRC6B,NE
EML4,NE
RPS14,E
MASTL,E
EIF1B,NE
PHF21A,NE
E2F6,NE
RPS4X,E
EIF3I,E
MPHOSPH10,E
OGDH,E
UNG,NE
PCLAF,NE
ZNF436,NE
RPL36AL,NE
CHD6,NE
TACC3,E
UBA52,E
CENPS,NE
LSM1,NE
INTS13,E
NSD1,NE
POLR1D,NE
EEF1B2,NE
SMG6,E
BZW1,NE
TRIM71,NE
NCOA5,NE
NUP107,E
KMT2C,NE
SMARCA4,E
NSD2,NE
NOP56,E
YWHAG,NE
MSI2,NE
TDRD9,NE
HSPA6,NE
SMURF1,NE
HSPA5,E
NME5,NE
TPT1,E
EIF4G2,E
ST13,NE
NOA1,NE
SAFB2,NE
DMWD,NE
CHD9,NE
L3MBTL2,NE
HSPH1,NE
ARID3A,NE
CCT5,E
PPA1,E
FUBP3,NE
NAP1L1,NE
ETF1,E
UNK,NE
CYCS,E
CDK19,NE
PDHA1,NE
MRPL36,NE
MAD1L1,NE
USP22,NE
USP4,NE
CTBP1,NE
SRSF12,NE
FOXJ2,NE
UBR2,NE
STAU1,NE
QKI,NE
SUMO4,NE
VCP,E
PMPCB,E
UBL4A,NE
SUV39H1,NE
WDR5,E
HNRNPAB,NE
PSMD13,E
RPS18,E
TTC1,E
CDC25C,NE
GINS2,E
ZC3H14,NE
MORC3,NE
AURKA,E
KMT2E,NE
PDIA6,NE
PUM2,NE
SALL4,NE
SDHA,E
RAVER1,NE
NARS2,E
RPL17,E
CCT2,E
BAG3,NE
AKAP8,NE
RRN3,E
COPB1,E
GFPT2,NE
TUBA1A,NE
NXT1,NE
DDX47,E
ARID2,NE
RPLP0,E
ZCCHC2,NE
CHD2,NE
BAZ2A,NE
RPL9,E
POTEI,NE
VPS4B,NE
UBQLN1,NE
MRPL16,E
LYAR,NE
RPL23A,E
CHEK1,E
MFAP1,E
DNM1L,E
EDF1,NE
TSPYL1,NE
NMT2,NE
EP300,E
ELL,E
WEE1,E
GABPB2,NE
HACE1,NE
CDYL,NE
H3C12,NE
PPP2CB,NE
ADSS2,E
HSPA9,E
FAU,E
ACTC1,NE
FXR2,NE
RPS11,E
RPS15A,E
FTSJ3,E
PDIA4,NE
PHLPP2,NE
FKBP5,NE
TUBB4B,NE
NDUFA13,E
PURB,NE
YTHDC2,NE
KATNAL1,NE
SMU1,E
FKBP8,NE
RUVBL2,E
DNMT1,E
RPL31,E
GADD45GIP1,E
CDK10,NE
PSMB3,E
CASP8,NE
PSMB10,NE
PMS2,NE
AFF4,NE
BTF3L4,NE
RNMT,E
NUDT21,E
KDM6B,NE
VARS2,E
TK1,NE
PIK3C2A,NE
GMPR,NE
MRPL3,E
PLK5,NE
MAT2A,E
AGO3,NE
ATMIN,NE
TFDP2,NE
MRPL4,E
ABI1,NE
HNRNPH2,NE
SHPK,NE
PRMT1,E
TUBB2B,NE
MRPS15,E
CIAO1,E
NOL11,E
PRPF38B,E
U2AF1L4,NE
RNF40,E
DDX25,NE
REXO4,NE
USP34,NE
ESS2,E
DNM2,E
TUBB6,NE
GINS3,E
CDK1,E
JARID2,NE
YY2,NE
CCNI2,NE
